timestamp_unix,timestamp_iso,participant_full_id,eda_scl_usiemens,missing_value_reason
1749483960000,2025-06-09T15:46:00Z,1573-1-1-002,,device_not_recording
1749484020000,2025-06-09T15:47:00Z,1573-1-1-002,,device_not_recording
1749484080000,2025-06-09T15:48:00Z,1573-1-1-002,,device_not_recording
1749484140000,2025-06-09T15:49:00Z,1573-1-1-002,,device_not_recording
1749484200000,2025-06-09T15:50:00Z,1573-1-1-002,,device_not_recording
1749484260000,2025-06-09T15:51:00Z,1573-1-1-002,,device_not_recording
1749484320000,2025-06-09T15:52:00Z,1573-1-1-002,,device_not_recording
1749484380000,2025-06-09T15:53:00Z,1573-1-1-002,,device_not_recording
1749484440000,2025-06-09T15:54:00Z,1573-1-1-002,,device_not_recording
1749484500000,2025-06-09T15:55:00Z,1573-1-1-002,,device_not_recording
1749484560000,2025-06-09T15:56:00Z,1573-1-1-002,,device_not_recording
1749484620000,2025-06-09T15:57:00Z,1573-1-1-002,,device_not_recording
1749484680000,2025-06-09T15:58:00Z,1573-1-1-002,,device_not_recording
1749484740000,2025-06-09T15:59:00Z,1573-1-1-002,,device_not_recording
1749484800000,2025-06-09T16:00:00Z,1573-1-1-002,,device_not_recording
1749484860000,2025-06-09T16:01:00Z,1573-1-1-002,,device_not_recording
1749484920000,2025-06-09T16:02:00Z,1573-1-1-002,,device_not_recording
1749484980000,2025-06-09T16:03:00Z,1573-1-1-002,,device_not_recording
1749485040000,2025-06-09T16:04:00Z,1573-1-1-002,,device_not_recording
1749485100000,2025-06-09T16:05:00Z,1573-1-1-002,,device_not_recording
1749485160000,2025-06-09T16:06:00Z,1573-1-1-002,,device_not_recording
1749485220000,2025-06-09T16:07:00Z,1573-1-1-002,,device_not_recording
1749485280000,2025-06-09T16:08:00Z,1573-1-1-002,,device_not_recording
1749485340000,2025-06-09T16:09:00Z,1573-1-1-002,,device_not_recording
1749485400000,2025-06-09T16:10:00Z,1573-1-1-002,,device_not_recording
1749485460000,2025-06-09T16:11:00Z,1573-1-1-002,,device_not_recording
1749485520000,2025-06-09T16:12:00Z,1573-1-1-002,,device_not_recording
1749485580000,2025-06-09T16:13:00Z,1573-1-1-002,,device_not_recording
1749485640000,2025-06-09T16:14:00Z,1573-1-1-002,,device_not_recording
1749485700000,2025-06-09T16:15:00Z,1573-1-1-002,,device_not_recording
1749485760000,2025-06-09T16:16:00Z,1573-1-1-002,,device_not_recording
1749485820000,2025-06-09T16:17:00Z,1573-1-1-002,,device_not_recording
1749485880000,2025-06-09T16:18:00Z,1573-1-1-002,,device_not_recording
1749485940000,2025-06-09T16:19:00Z,1573-1-1-002,,device_not_recording
1749486000000,2025-06-09T16:20:00Z,1573-1-1-002,,device_not_recording
1749486060000,2025-06-09T16:21:00Z,1573-1-1-002,,device_not_recording
1749486120000,2025-06-09T16:22:00Z,1573-1-1-002,,device_not_recording
1749486180000,2025-06-09T16:23:00Z,1573-1-1-002,,device_not_recording
1749486240000,2025-06-09T16:24:00Z,1573-1-1-002,,device_not_recording
1749486300000,2025-06-09T16:25:00Z,1573-1-1-002,,device_not_recording
1749486360000,2025-06-09T16:26:00Z,1573-1-1-002,,device_not_recording
1749486420000,2025-06-09T16:27:00Z,1573-1-1-002,,device_not_recording
1749486480000,2025-06-09T16:28:00Z,1573-1-1-002,,device_not_recording
1749486540000,2025-06-09T16:29:00Z,1573-1-1-002,,device_not_recording
1749486600000,2025-06-09T16:30:00Z,1573-1-1-002,,device_not_recording
1749486660000,2025-06-09T16:31:00Z,1573-1-1-002,,device_not_recording
1749486720000,2025-06-09T16:32:00Z,1573-1-1-002,,device_not_recording
1749486780000,2025-06-09T16:33:00Z,1573-1-1-002,,device_not_recording
1749486840000,2025-06-09T16:34:00Z,1573-1-1-002,,device_not_recording
1749486900000,2025-06-09T16:35:00Z,1573-1-1-002,,device_not_recording
1749486960000,2025-06-09T16:36:00Z,1573-1-1-002,,device_not_recording
1749487020000,2025-06-09T16:37:00Z,1573-1-1-002,,device_not_recording
1749487080000,2025-06-09T16:38:00Z,1573-1-1-002,,device_not_recording
1749487140000,2025-06-09T16:39:00Z,1573-1-1-002,,device_not_recording
1749487200000,2025-06-09T16:40:00Z,1573-1-1-002,,device_not_recording
1749487260000,2025-06-09T16:41:00Z,1573-1-1-002,,device_not_recording
1749487320000,2025-06-09T16:42:00Z,1573-1-1-002,,device_not_recording
1749487380000,2025-06-09T16:43:00Z,1573-1-1-002,,device_not_recording
1749487440000,2025-06-09T16:44:00Z,1573-1-1-002,,device_not_recording
1749487500000,2025-06-09T16:45:00Z,1573-1-1-002,,device_not_recording
1749487560000,2025-06-09T16:46:00Z,1573-1-1-002,,device_not_recording
1749487620000,2025-06-09T16:47:00Z,1573-1-1-002,,device_not_recording
1749487680000,2025-06-09T16:48:00Z,1573-1-1-002,,device_not_recording
1749487740000,2025-06-09T16:49:00Z,1573-1-1-002,,device_not_recording
1749487800000,2025-06-09T16:50:00Z,1573-1-1-002,,device_not_recording
1749487860000,2025-06-09T16:51:00Z,1573-1-1-002,,device_not_recording
1749487920000,2025-06-09T16:52:00Z,1573-1-1-002,,device_not_recording
1749487980000,2025-06-09T16:53:00Z,1573-1-1-002,,device_not_recording
1749488040000,2025-06-09T16:54:00Z,1573-1-1-002,,device_not_recording
1749488100000,2025-06-09T16:55:00Z,1573-1-1-002,,device_not_recording
1749488160000,2025-06-09T16:56:00Z,1573-1-1-002,,device_not_recording
1749488220000,2025-06-09T16:57:00Z,1573-1-1-002,,device_not_recording
1749488280000,2025-06-09T16:58:00Z,1573-1-1-002,,device_not_recording
1749488340000,2025-06-09T16:59:00Z,1573-1-1-002,,device_not_recording
1749488400000,2025-06-09T17:00:00Z,1573-1-1-002,,device_not_recording
1749488460000,2025-06-09T17:01:00Z,1573-1-1-002,,device_not_recording
1749488520000,2025-06-09T17:02:00Z,1573-1-1-002,,device_not_recording
1749488580000,2025-06-09T17:03:00Z,1573-1-1-002,,device_not_recording
1749488640000,2025-06-09T17:04:00Z,1573-1-1-002,,device_not_recording
1749488700000,2025-06-09T17:05:00Z,1573-1-1-002,,device_not_recording
1749488760000,2025-06-09T17:06:00Z,1573-1-1-002,,device_not_recording
1749488820000,2025-06-09T17:07:00Z,1573-1-1-002,,device_not_recording
1749488880000,2025-06-09T17:08:00Z,1573-1-1-002,,device_not_recording
1749488940000,2025-06-09T17:09:00Z,1573-1-1-002,,device_not_recording
1749489000000,2025-06-09T17:10:00Z,1573-1-1-002,,device_not_recording
1749489060000,2025-06-09T17:11:00Z,1573-1-1-002,,device_not_recording
1749489120000,2025-06-09T17:12:00Z,1573-1-1-002,,device_not_recording
1749489180000,2025-06-09T17:13:00Z,1573-1-1-002,,device_not_recording
1749489240000,2025-06-09T17:14:00Z,1573-1-1-002,,device_not_recording
1749489300000,2025-06-09T17:15:00Z,1573-1-1-002,,device_not_recording
1749489360000,2025-06-09T17:16:00Z,1573-1-1-002,,device_not_recording
1749489420000,2025-06-09T17:17:00Z,1573-1-1-002,,device_not_recording
1749489480000,2025-06-09T17:18:00Z,1573-1-1-002,,device_not_recording
1749489540000,2025-06-09T17:19:00Z,1573-1-1-002,,device_not_recording
1749489600000,2025-06-09T17:20:00Z,1573-1-1-002,,device_not_recording
1749489660000,2025-06-09T17:21:00Z,1573-1-1-002,,device_not_recording
1749489720000,2025-06-09T17:22:00Z,1573-1-1-002,,device_not_recording
1749489780000,2025-06-09T17:23:00Z,1573-1-1-002,,device_not_recording
1749489840000,2025-06-09T17:24:00Z,1573-1-1-002,,device_not_recording
1749489900000,2025-06-09T17:25:00Z,1573-1-1-002,,device_not_recording
1749489960000,2025-06-09T17:26:00Z,1573-1-1-002,,device_not_recording
1749490020000,2025-06-09T17:27:00Z,1573-1-1-002,,device_not_recording
1749490080000,2025-06-09T17:28:00Z,1573-1-1-002,,device_not_recording
1749490140000,2025-06-09T17:29:00Z,1573-1-1-002,,device_not_recording
1749490200000,2025-06-09T17:30:00Z,1573-1-1-002,,device_not_recording
1749490260000,2025-06-09T17:31:00Z,1573-1-1-002,,device_not_recording
1749490320000,2025-06-09T17:32:00Z,1573-1-1-002,,device_not_recording
