id_participant,task_type,sequence_number,timestamp,eda_value
1573-1-1-002,Perception,9,1749493197.341548,0.102305
1573-1-1-002,Perception,9,1749493197.591529,0.102071
1573-1-1-002,Perception,9,1749493197.84151,0.102568
1573-1-1-002,Perception,9,1749493198.091491,0.100841
1573-1-1-002,Perception,9,1749493198.341472,0.100914
1573-1-1-002,Perception,9,1749493198.591453,0.101119
1573-1-1-002,Perception,9,1749493198.841434,0.099656
1573-1-1-002,Perception,9,1749493199.091414,0.100988
1573-1-1-002,Perception,9,1749493199.341395,0.103037
1573-1-1-002,Perception,9,1749493199.591376,0.100666
1573-1-1-002,Perception,9,1749493199.841357,0.101046
1573-1-1-002,Perception,9,1749493200.091338,0.100944
1573-1-1-002,Perception,10,1749493226.839301,0.101573
1573-1-1-002,Perception,10,1749493227.089282,0.101573
1573-1-1-002,Perception,10,1749493227.339263,0.101441
1573-1-1-002,Perception,10,1749493227.589244,0.101939
1573-1-1-002,Perception,10,1749493227.839225,0.099992
1573-1-1-002,Perception,10,1749493228.089206,0.100329
1573-1-1-002,Perception,10,1749493228.339186,0.101002
