id_participant,task_type,numero_sequence,time_beginning,time_ending
1573-1-1-30,Reproduction,1,1749503399.4467754,1749503413.0031314
1573-1-1-30,Reproduction,15,1749503418.682687,1749503432.239043
1573-1-1-30,Reproduction,14,1749503438.0986066,1749503451.6549623
1573-1-1-30,Reproduction,9,1749503468.5244403,1749503482.0807962
1573-1-1-30,Reproduction,19,1749503502.1804793,1749503515.7368352
1573-1-1-30,Reproduction,21,1749503521.7854812,1749503535.3418372
1573-1-1-30,Reproduction,24,1749503541.593268,1749503555.149624
1573-1-1-30,Reproduction,23,1749503567.4967194,1749503581.0530753
1573-1-1-30,Reproduction,4,1749503600.312636,1749503613.868992
1573-1-1-30,Reproduction,17,1749503618.3547676,1749503631.9111235
1573-1-1-30,Reproduction,5,1749503638.0669854,1749503651.623341
1573-1-1-30,Reproduction,12,1749503663.3324797,1749503676.8888357
1573-1-1-30,Reproduction,8,1749503681.160928,1749503694.717284
1573-1-1-30,Reproduction,25,1749503699.4588542,1749503713.0152102
1573-1-1-3,Perception,21,1749490802.217194,1749490815.77355
1573-1-1-3,Perception,22,1749490827.718,1749490841.274356
1573-1-1-3,Perception,6,1749490845.334676,1749490858.891032
1573-1-1-3,Perception,17,1749490963.848873,1749490977.4052289
1573-1-1-3,Perception,25,1749491025.8530502,1749491039.4094062
1573-1-1-3,Perception,3,1749491044.463567,1749491058.019923
1573-1-1-3,Perception,4,1749491063.386807,1749491076.943163
1573-1-1-3,Perception,24,1749491089.652465,1749491103.208821
1573-1-1-3,Perception,23,1749491107.572374,1749491121.1287298
1573-1-1-3,Perception,15,1749491130.2630005,1749491143.8193564
1573-1-1-3,Perception,14,1749491169.241066,1749491182.797422
1573-1-1-3,Perception,1,1749491185.2094684,1749491198.7658243
1573-1-1-3,Perception,13,1749491206.8146646,1749491220.3710206
1573-1-1-3,Perception,19,1749491231.5995145,1749491245.1558704
1573-1-1-3,Perception,2,1749491255.7332425,1749491269.2895985
1573-1-1-3,Perception,8,1749491283.9517603,1749491297.5081162
1573-1-1-3,Perception,9,1749491299.2000809,1749491312.7564368
1573-1-1-3,Perception,26,1749491322.277985,1749491335.834341
1573-1-1-3,Perception,16,1749491338.6288476,1749491352.1852036
1573-1-1-3,Perception,18,1749491356.1681595,1749491369.7245154
1573-1-1-3,Perception,10,1749491384.2544966,1749491397.8108523
1573-1-1-3,Perception,20,1749491428.1267655,1749491441.6831214
1573-1-1-3,Perception,11,1749491448.4881208,1749491462.0444767
1573-1-1-3,Perception,7,1749491463.7352057,1749491477.2915616
1573-1-1-3,Perception,5,1749491486.8786426,1749491500.4349985
